"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","253944","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"Build and deploy three unit of PostgreSQL.","161314","test_build_and_deploy","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_synchronous_policy","",""
"","30259","test_switchover_sync_standby","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test data persists through a graceful restart.","19246","test_persist_data_through_graceful_restart","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that the relation can be broken and re-established.","134473","test_reestablish_relation","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"Test that two different application connect to the database with different credentials.","93307","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"","23","test_labels_consistency_across_pods[1]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","29540","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_gcp","",""
"","89102","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Tries deploying an arm64 charm on amd64 host.","50534","test_arm_charm_on_amd_host","tests.integration","2026-09-22","passed","2026-09-22","","test_wrong_arch","",""
"","155470","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-09-22","passed","2026-09-22","","test_relations","",""
"","0","test_delete_pod","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_gcp","",""
"","266496","test_extensions_blocking","tests.integration","2026-09-22","passed","2026-09-22","","test_db","",""
"Test switching over to the second cluster.","165937","test_switchover","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"Test basic functionality of database relation interface.","158795","test_database_deploy_clientapps","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_2","",""
"","22","test_database_is_up[0]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"","89262","test_freeze_db_process[/usr/bin/patroni]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"","50","test_exporter_is_up[1]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Test that an application can connect to different clusters of the same database.","96005","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Test that an application can request additional databases using the same interface.","80130","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","35525","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Test wal_compression configuration parameter.","51164","test_wal_compression_config","tests.integration","2026-09-22","passed","2026-09-22","","test_config","",""
"Test updating from stable channel.","302404","test_upgrade_from_stable","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_upgrade_from_stable","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","49845","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","67708","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"Test that async replication fails back correctly.","85770","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_async_replication","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","2026-09-22","skipped","2026-09-22","","test_rollback_to_master_label","",""
"Test that the admin role gives access to all the databases.","115863","test_admin_role","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"","341329","test_tls","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"Test restart of all the units simultaneously.","114093","test_restart","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_restart","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","163702","test_trust_blocked_deployment","tests.integration","2026-09-22","passed","2026-09-22","","test_trust","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2368","test_password_from_secret_same_as_cli","tests.integration","2026-09-22","passed","2026-09-22","","test_password_rotation","",""
"Test basic functionality of database relation interface.","240217","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_1","",""
"Test data persists through a failure.","93127","test_persist_data_through_failure","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Build and deploy two units of PostgreSQL in GCP and then test PITR backup and restore actions.","0","test_pitr_backup_gcp","tests.integration","2026-09-22","skipped","2026-09-22","","test_backups_pitr_gcp","",""
"","314176","test_glauth_integration","tests.integration","2026-09-22","passed","2026-09-22","","test_ldap","",""
"Build and deploy three unit of PostgreSQL.","200421","test_build_and_deploy","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_self_healing_1","",""
"","794275","test_discourse","tests.integration.new_relations","2026-09-22","broken","2026-09-22","","test_new_relations_2","",""
"","67008","test_remove_tls","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"Tests deploying and relating to the Indico charm.","838976","test_indico_datatabase","tests.integration.new_relations","2026-09-22","passed","2026-09-22","","test_new_relations_2","",""
"","20","test_database_is_up[1]","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","0","test_deploy_stable","tests.integration.ha_tests","2026-09-22","skipped","2026-09-22","","test_rollback_to_master_label","",""
"","40609","test_application_removal","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"Deploy Finos Waltz to test the 'db' relation.

    Args:
        ops_test: The ops test framework
        charm: `charm` fixture
    ","760889","test_finos_waltz_db","tests.integration","2026-09-22","passed","2026-09-22","","test_db","",""
"Test charm deploy in dirty environment with garbage storage.","101381","test_app_garbage_ignorance","tests.integration.ha_tests","2026-09-22","passed","2026-09-22","","test_smoke","",""
